"County Economic Status in the United States, Fiscal Year 2024",,,,,,,,,,,,,,
Appalachian Regional Commission,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,Absolute Data Values,,,Indicator Index Values,,,,,,
FIPS,State,County,ARC County,"County Economic Status, FY 2024","Three-Year Average Unemployment Rate, 2019-2021","Per Capita Market Income, 2021","Poverty Rate, 2017-2021","Three-Year Avg. Unemp.Rate, Percent of U.S., 2019-2021","PCMI, Percent of U.S., 2021","PCMI, Percent of U.S., Inversed, 2021","Poverty Rate, Percent of U.S., 2017-2021","Composite Index Value, FY 2024","Index Value Rank (of 3,113 counties in U.S., 1 is the best), FY 2024","Quartile (1 is the best), FY 2024"
,,,,,,,,,,,,,,
01001,Alabama,Autauga,,Transitional,3.7,"35,530",13.6,64.9,70.7,141.4,107.5,104.6,"1,256",2
01003,Alabama,Baldwin,,Competitive,4.0,"41,305",9.2,71.0,82.2,121.6,72.9,88.5,664,1
01005,Alabama,Barbour,,Distressed,5.8,"24,213",26.5,102.8,48.2,207.5,209.6,173.3,"2,925",4
01007,Alabama,Bibb,ARC,At-Risk,4.7,"23,541",16.9,82.6,46.9,213.4,134.1,143.4,"2,489",4
01009,Alabama,Blount,ARC,Transitional,3.2,"29,847",13.2,57.2,59.4,168.3,104.8,110.1,"1,434",2
01011,Alabama,Bullock,,Distressed,4.7,"19,045",30.9,81.9,37.9,263.7,244.9,196.8,"3,034",4
01013,Alabama,Butler,,At-Risk,6.3,"29,026",18.2,110.7,57.8,173.1,143.9,142.6,"2,465",4
01015,Alabama,Calhoun,ARC,Transitional,5.2,"27,762",17.5,91.9,55.3,180.9,138.8,137.2,"2,333",3
01017,Alabama,Chambers,ARC,Transitional,4.8,"24,433",15.1,83.9,48.6,205.6,119.3,136.2,"2,301",3
01019,Alabama,Cherokee,ARC,Transitional,3.5,"27,641",15.0,62.5,55.0,181.7,118.5,120.9,"1,828",3
01021,Alabama,Chilton,ARC,Transitional,3.7,"28,007",15.7,65.9,55.8,179.4,124.5,123.2,"1,901",3
01023,Alabama,Choctaw,,At-Risk,5.6,"26,079",21.6,98.0,51.9,192.6,170.7,153.8,"2,696",4
01025,Alabama,Clarke,,At-Risk,7.3,"27,839",21.9,128.9,55.4,180.4,173.4,160.9,"2,800",4
01027,Alabama,Clay,ARC,Transitional,3.4,"24,330",16.9,60.5,48.4,206.5,134.0,133.7,"2,231",3
01029,Alabama,Cleburne,ARC,Transitional,3.6,"28,991",14.2,64.1,57.7,173.3,112.2,116.5,"1,652",3
01031,Alabama,Coffee,,Transitional,3.6,"34,799",15.9,62.8,69.3,144.3,126.2,111.1,"1,470",2
01033,Alabama,Colbert,ARC,Transitional,5.1,"29,417",15.1,89.4,58.6,170.8,119.8,126.7,"2,012",3
01035,Alabama,Conecuh,,At-Risk,5.7,"22,795",13.0,100.2,45.4,220.4,102.7,141.1,"2,426",4
01037,Alabama,Coosa,ARC,Transitional,4.1,"23,580",11.1,72.4,46.9,213.0,88.2,124.6,"1,942",3
01039,Alabama,Covington,,At-Risk,4.0,"25,327",18.0,71.1,50.4,198.3,142.8,137.4,"2,338",4
01041,Alabama,Crenshaw,,Transitional,4.2,"29,203",13.1,73.6,58.1,172.0,103.7,116.4,"1,648",3
01043,Alabama,Cullman,ARC,Transitional,3.3,"32,544",12.2,58.1,64.8,154.3,96.7,103.1,"1,199",2
01045,Alabama,Dale,,Transitional,4.0,"28,845",16.7,69.6,57.4,174.1,132.3,125.3,"1,970",3
01047,Alabama,Dallas,,Distressed,8.3,"23,308",24.3,146.4,46.4,215.5,192.4,184.8,"2,990",4
01049,Alabama,DeKalb,ARC,At-Risk,3.5,"25,976",20.6,61.6,51.7,193.4,162.9,139.3,"2,386",4
01051,Alabama,Elmore,ARC,Transitional,3.6,"34,551",10.3,63.3,68.8,145.4,81.4,96.7,963,2
01053,Alabama,Escambia,,At-Risk,4.9,"24,391",23.5,85.8,48.6,205.9,185.9,159.2,"2,777",4
01055,Alabama,Etowah,ARC,At-Risk,5.4,"26,254",16.0,94.3,52.3,191.3,126.8,137.5,"2,340",4
01057,Alabama,Fayette,ARC,At-Risk,4.0,"24,062",21.3,69.8,47.9,208.8,168.9,149.2,"2,607",4
01059,Alabama,Franklin,ARC,Transitional,3.5,"27,259",18.1,61.1,54.3,184.3,143.0,129.5,"2,090",3
01061,Alabama,Geneva,,At-Risk,3.5,"25,760",23.5,61.8,51.3,195.0,186.1,147.7,"2,575",4
01063,Alabama,Greene,,Distressed,8.3,"21,355",39.8,145.4,42.5,235.2,315.0,231.9,"3,091",4
01065,Alabama,Hale,ARC,Distressed,6.7,"26,186",24.9,118.6,52.1,191.8,197.2,169.2,"2,885",4
01067,Alabama,Henry,,Transitional,4.1,"35,257",14.4,72.7,70.2,142.5,114.0,109.7,"1,422",2
01069,Alabama,Houston,,Transitional,4.2,"36,035",17.7,73.7,71.7,139.4,139.8,117.7,"1,695",3
01071,Alabama,Jackson,ARC,Transitional,4.1,"29,012",17.6,71.9,57.8,173.1,139.4,128.1,"2,056",3
01073,Alabama,Jefferson,ARC,Transitional,4.5,"48,922",15.9,79.4,97.4,102.7,125.9,102.6,"1,192",2
01075,Alabama,Lamar,ARC,Transitional,3.9,"23,544",16.3,68.4,46.9,213.3,128.8,136.9,"2,320",3
01077,Alabama,Lauderdale,ARC,Transitional,4.3,"31,074",13.3,75.0,61.9,161.7,105.3,114.0,"1,568",3
01079,Alabama,Lawrence,ARC,Transitional,3.9,"28,657",15.4,68.8,57.0,175.3,121.8,121.9,"1,859",3
01081,Alabama,Lee,,Transitional,3.8,"35,206",19.9,67.6,70.1,142.7,157.7,122.7,"1,878",3
01083,Alabama,Limestone,ARC,Transitional,3.3,"38,950",11.5,58.5,77.5,129.0,90.9,92.8,809,2
01085,Alabama,Lowndes,,Distressed,10.0,"30,036",21.5,176.1,59.8,167.2,170.1,171.1,"2,904",4
01087,Alabama,Macon,ARC,Distressed,7.0,"23,085",22.2,123.5,46.0,217.6,175.4,172.1,"2,914",4
01089,Alabama,Madison,ARC,Competitive,3.5,"48,293",10.9,61.7,96.1,104.0,86.3,84.0,523,1
01091,Alabama,Marengo,,At-Risk,5.0,"29,315",22.3,87.3,58.4,171.4,176.7,145.1,"2,533",4
01093,Alabama,Marion,ARC,Transitional,4.0,"26,258",17.5,71.3,52.3,191.3,138.3,133.6,"2,230",3
01095,Alabama,Marshall,ARC,Transitional,3.2,"30,860",17.7,56.6,61.4,162.8,139.9,119.8,"1,787",3
01097,Alabama,Mobile,,Transitional,5.8,"32,003",17.6,101.8,63.7,157.0,139.1,132.6,"2,199",3
01099,Alabama,Monroe,,Distressed,6.6,"25,899",22.2,115.7,51.6,194.0,175.5,161.7,"2,810",4
01101,Alabama,Montgomery,,Transitional,5.6,"35,888",19.6,98.0,71.4,140.0,155.4,131.1,"2,140",3
01103,Alabama,Morgan,ARC,Transitional,3.4,"33,989",14.6,60.4,67.7,147.8,115.5,107.9,"1,356",2
01105,Alabama,Perry,,Distressed,8.6,"20,204",35.7,151.5,40.2,248.6,282.6,227.5,"3,081",4
01107,Alabama,Pickens,ARC,At-Risk,5.0,"26,620",22.7,88.2,53.0,188.7,179.5,152.1,"2,659",4
01109,Alabama,Pike,,At-Risk,4.0,"30,892",23.8,71.1,61.5,162.6,188.2,140.6,"2,416",4
01111,Alabama,Randolph,ARC,Transitional,3.8,"25,431",18.2,66.2,50.6,197.5,144.2,136.0,"2,289",3
01113,Alabama,Russell,,At-Risk,4.0,"24,241",21.9,70.2,48.3,207.2,173.7,150.4,"2,631",4
01115,Alabama,St. Clair,ARC,Transitional,3.6,"34,116",12.1,64.0,67.9,147.2,95.4,102.2,"1,178",2
01117,Alabama,Shelby,ARC,Attainment,2.9,"53,884",7.0,50.9,107.3,93.2,55.3,66.5,108,1
01119,Alabama,Sumter,,Distressed,5.7,"21,741",31.6,100.2,43.3,231.0,249.8,193.7,"3,027",4
01121,Alabama,Talladega,ARC,At-Risk,5.2,"25,784",18.6,91.2,51.3,194.8,147.5,144.5,"2,521",4
01123,Alabama,Tallapoosa,ARC,Transitional,4.9,"31,667",16.8,86.6,63.0,158.6,132.8,126.0,"1,989",3
01125,Alabama,Tuscaloosa,ARC,Transitional,4.6,"32,148",15.8,80.5,64.0,156.2,125.1,120.6,"1,820",3
01127,Alabama,Walker,ARC,Transitional,4.5,"30,715",16.9,79.6,61.1,163.5,134.0,125.7,"1,977",3
01129,Alabama,Washington,,At-Risk,6.2,"29,235",16.7,108.5,58.2,171.8,132.1,137.5,"2,339",4
01131,Alabama,Wilcox,,Distressed,11.6,"19,242",27.4,205.1,38.3,261.1,217.0,227.7,"3,082",4
01133,Alabama,Winston,ARC,Transitional,3.8,"26,659",19.3,67.5,53.1,188.4,152.8,136.2,"2,298",3
02013,Alaska,Aleutians East,,Competitive,2.9,"54,826",13.4,51.3,109.1,91.6,105.9,82.9,482,1
02016,Alaska,Aleutians West,,Attainment,3.8,"59,060",8.3,67.4,117.6,85.1,66.1,72.8,220,1
02020,Alaska,Anchorage,,Competitive,6.0,"58,002",9.1,106.4,115.5,86.6,72.4,88.5,665,1
02050,Alaska,Bethel,,Distressed,12.3,"29,819",28.5,216.6,59.4,168.5,226.0,203.7,"3,049",4
02060,Alaska,Bristol Bay,,Attainment,6.2,"139,322",3.5,109.1,277.4,36.1,27.8,57.7,37,1
02068,Alaska,Denali,,Transitional,10.7,"76,970",15.7,189.0,153.2,65.3,124.4,126.2,"1,996",3
02070,Alaska,Dillingham,,Transitional,8.0,"46,155",18.0,140.9,91.9,108.8,142.8,130.9,"2,133",3
02090,Alaska,Fairbanks North Star,,Competitive,5.5,"51,951",6.4,96.3,103.4,96.7,50.6,81.2,436,1
02100,Alaska,Haines,,At-Risk,11.8,"66,474",16.7,207.9,132.3,75.6,132.6,138.7,"2,368",4
02105,Alaska,Hoonah-Angoon,,Transitional,11.0,"41,125",8.8,194.1,81.9,122.1,69.8,128.7,"2,073",3
02110,Alaska,Juneau,,Attainment,5.2,"64,122",7.2,91.6,127.7,78.3,57.1,75.7,291,1
02122,Alaska,Kenai Peninsula,,Transitional,7.6,"43,610",11.9,134.4,86.8,115.2,93.8,114.5,"1,584",3
02130,Alaska,Ketchikan Gateway,,Transitional,7.6,"55,988",9.4,134.5,111.5,89.7,74.1,99.4,"1,084",2
02150,Alaska,Kodiak Island,,Competitive,6.0,"56,171",7.8,105.8,111.8,89.4,61.5,85.6,573,1
02158,Alaska,Kusilvak,,Distressed,19.4,"17,174",36.6,340.8,34.2,292.5,290.1,307.8,"3,113",4
02164,Alaska,Lake and Peninsula,,Transitional,9.7,"49,636",15.7,171.5,98.8,101.2,124.4,132.4,"2,177",3
02170,Alaska,Matanuska-Susitna,,Transitional,7.2,"42,711",10.7,126.9,85.0,117.6,84.4,109.6,"1,420",2
02180,Alaska,Nome,,At-Risk,10.2,"39,058",21.9,179.1,77.8,128.6,173.1,160.3,"2,792",4
02185,Alaska,North Slope,,Competitive,6.0,"64,729",8.6,106.4,128.9,77.6,67.8,83.9,516,1
02188,Alaska,Northwest Arctic,,Distressed,12.3,"32,468",20.5,216.7,64.6,154.7,162.3,177.9,"2,955",4
02195,Alaska,Petersburg,,Competitive,7.9,"59,261",4.8,139.3,118.0,84.8,37.8,87.3,625,1
02198,Alaska,Prince of Wales-Hyder,,At-Risk,8.9,"36,901",17.3,157.4,73.5,136.1,136.7,143.4,"2,491",4
02220,Alaska,Sitka,,Attainment,5.1,"61,079",6.9,89.5,121.6,82.2,54.4,75.4,284,1
02230,Alaska,Skagway,,Transitional,14.5,"55,587",4.8,255.0,110.7,90.4,38.1,127.8,"2,047",3
